date,open,high,low,close,volume
2005-08-26,55.0,55.24,54.7,31.4296,6619600
2005-08-29,54.92,55.84,54.85,31.8185,11931300
2005-08-30,55.65,55.65,55.0,31.6812,7833500
2005-08-31,55.4,55.72,55.19,31.727,9500700
2005-09-01,55.4,55.94,55.25,31.8871,7784400
2005-09-02,55.75,56.36,55.7,32.0186,6484500
2005-09-06,56.3,56.75,56.06,32.3503,8132300
2005-09-07,56.5,56.5,56.2,32.173,9214000
2005-09-08,56.55,56.55,55.8,32.1101,7520100
2005-09-09,56.15,57.21,56.08,32.539,7878700
2005-09-12,56.68,56.91,56.55,32.3446,6401100
2005-09-13,56.3,56.31,55.49,31.7613,11601300
2005-09-14,55.45,55.53,54.97,31.4639,10317800
2005-09-15,55.24,55.72,55.09,31.7384,7203300
2005-09-16,55.74,56.45,55.63,31.9958,13634100
2005-09-19,55.76,55.9,55.26,31.7727,8016000
2005-09-20,56.24,56.5,55.9,32.0472,9517000
2005-09-21,55.75,56.12,55.6,31.9672,10153700
2005-09-22,55.91,56.9,55.85,32.4189,8766200
2005-09-23,56.51,56.94,56.1,32.4475,7859500
2005-09-26,56.99,57.13,56.4,32.3617,7647800
2005-09-27,56.47,57.28,56.34,32.6534,7878800
2005-09-28,57.19,57.73,57.1,32.8478,8143200
2005-09-29,57.35,58.17,57.28,33.2481,9644100
2005-09-30,57.87,59.46,57.59,34.003,23314300
2005-10-03,59.43,59.56,59.13,33.9172,15234500
2005-10-04,58.45,58.72,57.97,33.2138,24592100
2005-10-05,57.8,58.0,57.02,32.6591,15616400
2005-10-06,57.0,57.76,55.5,32.1502,21143000
2005-10-07,56.55,56.55,55.87,32.0472,12314200
2005-10-10,56.04,56.4,55.8,31.9328,9164800
2005-10-11,56.0,56.37,55.9,32.0301,10238300
2005-10-12,56.01,56.23,55.6,32.0415,9824100
2005-10-13,55.98,56.51,55.96,32.1387,8723300
2005-10-14,55.85,56.29,55.78,32.0873,8307500
2005-10-17,56.02,56.11,55.4,31.8985,8406200
2005-10-18,55.4,55.59,54.87,31.6526,7906600
2005-10-19,54.65,55.7,54.62,31.9975,9540100
2005-10-20,55.7,55.96,54.97,31.7101,9112000
2005-10-21,55.17,55.35,54.81,31.5032,10659000
2005-10-24,54.99,55.64,54.95,31.6699,8221200
2005-10-25,55.15,55.73,55.03,31.9515,7570700
2005-10-26,55.59,55.75,54.96,31.6067,7442600
2005-10-27,55.0,55.3,54.88,31.6239,7090300
2005-10-28,55.48,56.24,55.15,32.1412,8200400
2005-10-31,55.67,56.38,55.66,32.1814,10998100
2005-11-01,56.5,56.72,55.25,31.7561,10760400
2005-11-02,55.0,55.7,54.96,31.986,10583100
2005-11-03,55.9,56.11,55.75,32.1642,8328300
2005-11-04,56.2,56.3,55.75,32.1412,6064700
2005-11-07,55.52,55.81,55.14,31.9458,7611700
2005-11-08,55.37,55.89,55.34,32.0205,6447900
2005-11-09,55.88,56.33,55.75,32.1872,6076000
2005-11-10,56.0,56.56,55.92,32.3998,7645800
2005-11-11,56.41,56.7,56.26,32.3998,7528500
2005-11-14,56.3,56.51,55.71,32.1412,9706700
2005-11-15,55.97,56.12,55.92,32.1872,9658100
2005-11-16,56.18,56.85,56.14,32.532,9982900
2005-11-17,56.85,57.43,56.6,32.8482,8009400
2005-11-18,57.65,57.66,57.02,33.0206,11973800
2005-11-21,57.2,57.75,57.17,33.1298,5644200
2005-11-22,57.59,57.59,56.92,32.8424,6840700
2005-11-23,56.99,57.01,56.35,32.7677,8448500
2005-11-25,57.2,57.63,57.17,32.9229,2326800
2005-11-28,56.85,57.36,56.72,32.8252,5787100
2005-11-29,57.36,57.97,57.35,33.1528,6821700
2005-11-30,57.79,58.04,57.16,32.8712,8624300
2005-12-01,57.36,58.0,57.32,33.1298,6894300
2005-12-02,57.3,57.72,57.21,32.9689,15060900
2005-12-05,57.12,57.6,57.12,33.0091,6158800
2005-12-06,57.4,57.82,57.34,32.9976,6015500
2005-12-07,57.5,57.66,56.8,32.7849,6839200
2005-12-08,57.0,57.5,56.7,32.7677,5414200
2005-12-09,57.05,57.5,57.05,32.9516,5284000
2005-12-12,57.3,57.54,56.82,32.7102,6006100
2005-12-13,57.2,58.75,57.2,33.6298,10104900
2005-12-14,58.49,59.7,58.28,34.2678,9403200
2005-12-15,59.05,59.13,58.0,33.9057,10429500
2005-12-16,59.19,59.45,57.5,33.3999,18585300
2005-12-19,58.14,58.84,57.76,33.6528,7045500
2005-12-20,58.0,58.69,57.75,33.4574,5440300
2005-12-21,58.25,58.79,58.25,33.6356,6078300
2005-12-22,58.27,58.78,58.25,33.785,5800000
2005-12-23,58.81,59.19,58.17,33.8425,3913000
2005-12-27,58.66,58.95,58.45,33.6816,4744800
2005-12-28,58.59,58.8,58.36,33.6471,5663000
2005-12-29,58.43,58.65,58.12,33.5781,4008000
2005-12-30,58.15,58.56,57.88,33.2677,5928600
2006-01-03,58.3,58.86,57.69,33.785,9741500
2006-01-04,58.8,59.12,58.56,33.8483,6746400
2006-01-05,58.7,59.07,58.61,33.7391,8936100
2006-01-06,58.74,58.8,58.48,33.7046,8825800
2006-01-09,58.45,59.09,58.45,33.9575,7715700
2006-01-10,58.89,58.9,58.57,33.8253,8552900
2006-01-11,58.94,59.07,58.6,33.946,8790500
2006-01-12,58.98,59.0,58.4,33.5724,6612800
2006-01-13,58.41,58.92,58.39,33.854,7146800
2006-01-17,58.45,58.86,58.42,33.7103,5299200
2006-01-18,58.5,58.75,58.37,33.8836,6689500
2006-01-19,58.0,58.88,58.0,33.7912,8067300
2006-01-20,58.51,58.56,57.79,33.4042,10491600
2006-01-23,57.84,58.26,57.64,33.2887,9437700
2006-01-24,58.0,58.16,57.29,33.4216,8163500
